time,area,average,total
0,0.006814622621318833,48,17028
1,0.007148896620131623,48,17028
2,0.007483215282775825,48,17028
3,0.00781627782417076,48,17028
4,0.008146762518788554,48,17028
5,0.008473338017222408,48,17028
6,0.008794674904963091,48,17028
7,0.009109457340814484,48,17028
8,0.009416394610458062,48,17028
9,0.009714232432016278,48,17028
10,0.010001763855047722,48,17028
11,0.010277839602092092,48,17028
12,0.01054137771247683,48,17028
13,0.010791372361324662,48,17028
14,0.01102690174221244,48,17028
15,0.011247134919356298,48,17028
16,0.011451337574081273,48,17028
17,0.01163887659023373,48,17028
18,0.011809223443633353,48,17028
19,0.01196195638116326,48,17028
20,0.012096761395213484,48,17028
21,0.012213432018486521,48,17028
22,0.012311867982244127,48,17028
23,0.012392072797595167,48,17028
24,0.012454150334081999,48,17028
25,0.012498300482393218,48,17028
26,0.012524813998356737,48,17028
27,0.012534066633330352,48,17028
28,0.012526512661679213,48,17028
29,0.012502677919234354,48,17028
30,0.01246315246754608,48,17028
31,0.012408582997498384,48,17028
32,0.012339665082644842,48,17028
33,0.0122571353876286,48,17028
34,0.012161763930547537,48,17028
35,0.012054346490333937,48,17028
36,0.011935697241439096,48,17028
37,0.011806641688588543,48,17028
38,0.011668009964391924,48,17028
39,0.011520630542367214,48,17028
40,0.011365324407750002,48,17028
41,0.011202899718464514,48,17028
42,0.011034146979050452,48,17028
43,0.010859834741297817,48,17028
44,0.010680705836980161,48,17028
45,0.01049747414046615,48,17028
46,0.010310821852212333,48,17028
47,0.010121397288218512,48,17028
48,0.00992981315547179,48,17028
49,0.009736645289211473,48,17028
50,0.009542431824473275,48,17028
51,0.009347672771780823,48,17028
52,0.0091528299649803,48,17028
53,0.008958327348001166,48,17028
54,0.008764551566691325,48,17028
55,0.008571852831763158,48,17028
56,0.008380546019205378,48,17028
57,0.00819091197521377,48,17028
58,0.008003198993693533,48,17028
59,0.007817624435639528,48,17028
60,0.0076343764611469305,48,17028
61,0.007453615846403757,48,17028
62,0.007275477859728891,48,17028
63,0.0071000741725122385,48,17028
64,0.006927494782759554,48,17028
65,0.006757809930828635,48,17028
66,0.006591071988839942,48,17028
67,0.006427317307150422,48,17028
68,0.006266568003174565,48,17028
69,0.006108833679717196,48,17028
70,0.005954113061839067,48,17028
71,0.005802395543098494,48,17028
72,0.005653662633791123,48,17028
73,0.005507889305539995,48,17028
74,0.005365045228251788,48,17028
75,0.005225095897047313,48,17028
76,0.005088003648281395,48,17028
77,0.0049537285651747994,48,17028
78,0.004822229274880709,48,17028
79,0.004693463639985598,48,17028
80,0.004567389348493753,48,17028
81,0.004443964407251391,48,17028
82,0.0043231475445298494,48,17028
83,0.004204898528101298,48,17028
84,0.004089178405602418,48,17028
85,0.003975949674298081,48,17028
86,0.0038651763875257525,48,17028
87,0.003756824205139636,48,17028
88,0.0036508603951819524,48,17028
89,0.0035472537938079783,48,17028
90,0.003445974730192777,48,17028
91,0.0033469949227666394,48,17028
92,0.0032502873526846056,48,17028
93,0.0031558261199443505,48,17028
94,0.0030635862870498774,48,17028
95,0.002973543714587014,48,17028
96,0.002885674892550391,48,17028
97,0.002799956770749001,48,17028
98,0.0027163665911344183,48,17028
99,0.0026348817244474503,48,17028
100,0.002555479513174115,48,17028
101,0.0024781371224437292,48,17028
102,0.0024028314001900103,48,17028
103,0.002329538747634118,48,17028
104,0.0022582350009290185,48,17028
105,0.002188895324625703,48,17028
106,0.00212149411747858,48,17028
107,0.002056004930991079,48,17028
108,0.0019924004010096123,48,17028
109,0.0019306521925939821,48,17028
110,0.0018707309583228197,48,17028
111,0.0018126063101249479,48,17028
112,0.0017562468046568394,48,17028
113,0.0017016199421724355,48,17028
114,0.0016486921787467951,48,17028
115,0.0015974289516216143,48,17028
116,0.0015477947173382055,48,17028
117,0.001499753002210639,48,17028
118,0.0014532664645737982,48,17028
119,0.0014082969681173778,48,17028
120,0.0013648056654939566,48,17028
121,0.001322753091267234,48,17028
122,0.0012820992631528145,48,17028
123,0.0012428037903991138,48,17028
124,0.001204825988065353,48,17028
125,0.0011681249958786684,48,17028
126,0.0011326599002980317,48,17028
127,0.0010983898583763667,48,17028
128,0.0010652742220004778,48,17028
129,0.0010332726610967425,48,17028
130,0.001002345284421856,48,17028
131,0.0009724527566099639,48,17028
132,0.0009435564102193469,48,17028
133,0.0009156183516117491,48,17028
134,0.0008886015596026816,48,17028
135,0.0008624699759404447,48,17028
136,0.0008371885868011003,48,17028
137,0.0008127234946251639,48,17028
138,0.0007890419797656848,48,17028
139,0.0007661125515648896,48,17028
140,0.0007439049886249035,48,17028
141,0.0007223903681852303,48,17028
142,0.000701541084664064,48,17028
143,0.0006813308575587943,48,17028
144,0.0006617347290339481,48,17028
145,0.0006427290516481018,48,17028
146,0.0006242914667858334,48,17028
147,0.0006064008744634397,48,17028
148,0.0005890373952685588,48,17028
149,0.0005721823252710481,48,17028
150,0.0005558180848065274,48,17028
151,0.0005399281620822982,48,17028
152,0.0005244970525890339,48,17028
153,0.0005095101953186979,48,17028
154,0.0004949539067907545,48,17028
155,0.0004808153138740397,48,17028
156,0.0004670822863612885,48,17028
157,0.0004537433702081755,48,17028
158,0.00044078772228908514,48,17028
159,0.0004282050474495243,48,17028
160,0.00041598553855134437,48,17028
161,0.00040411982011333373,48,17028
162,0.00039259889604885265,48,17028
163,0.000381414101895511,48,17028
164,0.0003705570618223695,48,17028
165,0.00036001965058972174,48,17028
166,0.00034979396052803465,48,17028
167,0.0003398722734979808,48,17028
168,0.00033024703769531175,48,17028
169,0.000320910849074392,48,17028
170,0.00031185643708442156,48,17028
171,0.00030307665434402845,48,17028
172,0.00029456446982461154,48,17028
173,0.0002863129650705253,48,17028
174,0.0002783153329564007,48,17028
175,0.0002705648784675317,48,17028
176,0.00026305502098897975,48,17028
177,0.0002557792976013954,48,17028
178,0.0002487313669062838,48,17028
179,0.00024190501293868256,48,17028
180,0.0002352941487701498,48,17028
181,0.00022889281945741858,48,17028
182,0.00022269520405084623,48,17028
183,0.00021669561643968926,48,17028
184,0.00021088850487665912,48,17028
185,0.0002052684500903418,48,17028
186,0.00019983016195909158,48,17028
187,0.00019456847478230686,48,17028
188,0.00018947834124310957,48,17028
189,0.0001845548252088701,48,17028
190,0.00017979309356167022,48,17028
191,0.0001751884072885433,48,17028
192,0.00017073611209048606,48,17028
193,0.00016643162878906344,48,17028
194,0.00016227044381972013,48,17028
195,0.00015824810010143527,48,17028
196,0.00015436018856332279,48,17028
197,0.00015060234059046607,48,17028
198,0.0001469702216244752,48,17028
199,0.00014345952611961863,48,17028
200,0.00014006597401419542,48,17028
201,0.00013678530883020221,48,17028
202,0.00013361329746398574,48,17028
203,0.0001305457316777988,48,17028
204,0.00012757843124901357,48,17028
205,0.00012470724868170484,48,17028
206,0.00012192807533630354,48,17028
207,0.00011923684878869507,48,17028
208,0.00011662956119204369,48,17028
209,0.00011410226838421246,48,17028
210,0.00011165109946200525,48,17028
211,0.0001092722665314873,48,17028
212,0.00010696207434183801,48,17028
213,0.00010471692951871997,48,17028
214,0.00010253334913176903,48,17028
215,0.00010040796835895185,48,17028
216,9.833754704710731e-05,48,17028
217,9.631897501179427e-05,48,17028
218,9.43492759688291e-05,48,17028
219,9.242561004284787e-05,48,17028
220,9.054527485274229e-05,48,17028
221,8.870570522781266e-05,48,17028
222,8.690447165977297e-05,48,17028
223,8.513927764230529e-05,48,17028
224,8.34079560897726e-05,48,17028
225,8.170846505836355e-05,48,17028
226,8.003888301500097e-05,48,17028
227,7.839740391090918e-05,48,17028
228,7.678233231724754e-05,48,17028
229,7.519207886965066e-05,48,17028
230,7.362515624723061e-05,48,17028
231,7.208017588043321e-05,48,17028
232,7.055584554232323e-05,48,17028
233,6.905096793099192e-05,48,17028
234,6.756444029870551e-05,48,17028
235,6.609525512825397e-05,48,17028
236,6.464250180090742e-05,48,17028
237,6.320536914572771e-05,48,17028
238,6.178314870890881e-05,48,17028
239,6.0375238536376995e-05,48,17028
