puntos,partidas,total_partidas,porcentaje_pc,porcentaje_con_menos
0,53,116466,75,0
1,179,116466,75,0
2,317,116466,75,0
3,310,116466,75,0
4,277,116466,75,0
5,226,116466,75,0
6,228,116466,75,1
7,256,116466,75,1
8,284,116466,75,1
9,325,116466,75,1
10,340,116466,75,2
11,380,116466,75,2
12,427,116466,75,2
13,441,116466,75,3
14,482,116466,75,3
15,520,116466,75,3
16,623,116466,75,4
17,683,116466,75,4
18,807,116466,75,5
19,847,116466,75,6
20,866,116466,75,6
21,969,116466,75,7
22,1131,116466,75,8
23,1248,116466,75,9
24,1401,116466,75,10
25,1506,116466,75,11
26,1596,116466,75,12
27,1820,116466,75,14
28,1952,116466,75,15
29,2199,116466,75,17
30,2233,116466,75,19
31,2439,116466,75,21
32,2598,116466,75,23
33,2664,116466,75,25
34,2884,116466,75,28
35,3006,116466,75,30
36,3234,116466,75,33
37,3437,116466,75,35
38,3440,116466,75,38
39,3567,116466,75,41
40,3661,116466,75,44
41,3701,116466,75,47
42,3676,116466,75,51
43,3693,116466,75,54
44,3710,116466,75,57
45,3696,116466,75,60
46,3631,116466,75,63
47,3521,116466,75,66
48,3444,116466,75,69
49,3235,116466,75,72
50,28303,116466,75,75
